# 728 mismatches. This search was performed against newly downloaded ortholog mapping files.
[ZFIN:ZDB-GENE-011026-1]: online = SRY, offline = None, type = ensembl query
[RGD:4888546]: online = MIR193A, offline = None, type = ensembl query
[RGD:1306813]: online = ACSM1, offline = None, type = ensembl query
[RGD:1309591]: online = APOL2, offline = None, type = ensembl query
[Xenbase:XB-GENE-954075]: online = SLX9, offline = None, type = ensembl query
[MGI:1934677]: online = PLA1A, offline = None, type = ensembl query
[MGI:109609]: online = FAAH, offline = None, type = ensembl query
[RGD:2314889]: online = MIR29B2, offline = None, type = ensembl query
[MGI:95691]: online = MSTN, offline = None, type = ensembl query
[Xenbase:XB-GENE-975762]: online = SCP2, offline = None, type = ensembl query
[Xenbase:XB-GENE-6044470]: online = MFSD2B, offline = None, type = ensembl query
[MGI:108046]: online = LAPTM5, offline = None, type = ensembl query
[RGD:1309841]: online = TREM2, offline = None, type = ensembl query
[Xenbase:XB-GENE-6250474]: online = PNLIPRP2, offline = None, type = ensembl query
[RGD:1307299]: online = WASF2, offline = None, type = ensembl query
[MGI:1914093]: online = DOLPP1, offline = None, type = ensembl query
[MGI:96412]: online = IDE, offline = None, type = ensembl query
[RGD:1310906]: online = TARDBP, offline = None, type = ensembl query
[RGD:621177]: online = SCD, offline = None, type = ensembl query
[Xenbase:XB-GENE-494292]: online = RAB5C, offline = None, type = ensembl query
[MGI:96281]: online = HTR2C, offline = None, type = ensembl query
[RGD:2325543]: online = MIR223, offline = None, type = ensembl query
[MGI:99694]: online = RASGRF1, offline = None, type = ensembl query
[MGI:87916]: online = ADA, offline = None, type = ensembl query
[MGI:107717]: online = MYH9, offline = None, type = ensembl query
[Xenbase:XB-GENE-853213]: online = APOE, offline = None, type = ensembl query
[RGD:2325360]: online = MIR375, offline = None, type = ensembl query
[MGI:107592]: online = HMGCS1, offline = None, type = ensembl query
[RGD:2325600]: online = MIR17, offline = None, type = ensembl query
[MGI:96611]: online = ITGB2, offline = None, type = ensembl query
[RGD:2325348]: online = MIR101-1, offline = None, type = ensembl query
[MGI:107661]: online = IFNA1, offline = None, type = ensembl query
[MGI:97499]: online = PCCA, offline = None, type = ensembl query
[RGD:2325372]: online = MIR448, offline = None, type = ensembl query
[Xenbase:XB-GENE-996639]: online = TEX2, offline = None, type = ensembl query
[Xenbase:XB-GENE-485735]: online = NRP2, offline = None, type = ensembl query
[Xenbase:XB-GENE-940049]: online = PLA2G7, offline = None, type = ensembl query
[MGI:1306797]: online = AOC3, offline = None, type = ensembl query
[MGI:104688]: online = COL4A3, offline = None, type = ensembl query
[MGI:109382]: online = NOCT, offline = None, type = ensembl query
[Xenbase:XB-GENE-976825]: online = HSD17B7, offline = None, type = ensembl query
[RGD:1595785]: online = RORC, offline = None, type = ensembl query
[MGI:95481]: online = PTK2, offline = None, type = ensembl query
[RGD:2325568]: online = MIR138-1, offline = None, type = ensembl query
[Xenbase:XB-GENE-5997844]: online = PAFAH2, offline = None, type = ensembl query
[RGD:1307779]: online = RFX3, offline = None, type = ensembl query
[MGI:3650339]: online = SMIM43, offline = None, type = ensembl query
[RGD:2325420]: online = MIR20B, offline = None, type = ensembl query
[Xenbase:XB-GENE-6049935]: online = TFEB, offline = None, type = ensembl query
[MGI:109482]: online = CACNA1A, offline = None, type = ensembl query
[RGD:1359505]: online = CLEC6A, offline = None, type = ensembl query
[Xenbase:XB-GENE-946874]: online = DEGS1, offline = None, type = ensembl query
[RGD:2325574]: online = MIR128-1, offline = None, type = ensembl query
[RGD:41294442]: online = SNORD35A, offline = None, type = ensembl query
[MGI:99457]: online = MC4R, offline = None, type = ensembl query
[MGI:98296]: online = SHC1, offline = None, type = ensembl query
[MGI:108398]: online = MLX, offline = None, type = ensembl query
[ZFIN:ZDB-GENE-050208-420]: online = RNASE4, offline = None, type = ensembl query
[Xenbase:XB-GENE-992422]: online = FITM1, offline = None, type = ensembl query
[RGD:1642419]: online = CES1, offline = None, type = ensembl query
[RGD:620400]: online = MLXIPL, offline = None, type = ensembl query
[RGD:1592849]: online = LIPH, offline = None, type = ensembl query
[Xenbase:XB-GENE-6053213]: online = KDR, offline = None, type = ensembl query
[ZFIN:ZDB-GENE-051113-192]: online = HLA-DQA1, offline = None, type = ensembl query
[MGI:95516]: online = FGF2, offline = None, type = ensembl query
[Xenbase:XB-GENE-489346]: online = RAB11A, offline = None, type = ensembl query
[Xenbase:XB-GENE-480957]: online = IGF2R, offline = None, type = ensembl query
[MGI:3779469]: online = SIRPB1, offline = None, type = ensembl query
[MGI:88380]: online = F2, offline = None, type = ensembl query
[Xenbase:XB-GENE-999724]: online = STAR, offline = None, type = ensembl query
[ZFIN:ZDB-GENE-050309-118]: online = GPAT2, offline = None, type = ensembl query
[Xenbase:XB-GENE-948465]: online = PLD1, offline = None, type = ensembl query
[RGD:2325451]: online = MIR221, offline = None, type = ensembl query
[ZFIN:ZDB-GENE-070209-65]: online = ATG9A, offline = None, type = ensembl query
[Xenbase:XB-GENE-5736126]: online = CALCRL, offline = None, type = ensembl query
[RGD:2325397]: online = MIR10B, offline = None, type = ensembl query
[MGI:96610]: online = ITGB1, offline = None, type = ensembl query
[RGD:2325431]: online = MIR99B, offline = None, type = ensembl query
[Xenbase:XB-GENE-5852172]: online = PAG1, offline = None, type = ensembl query
[Xenbase:XB-GENE-6045997]: online = PLCB2, offline = None, type = ensembl query
[RGD:2325527]: online = MIR133B, offline = None, type = ensembl query
[Xenbase:XB-GENE-949914]: online = PLEKHA8, offline = None, type = ensembl query
[MGI:101757]: online = CFL1, offline = None, type = ensembl query
[RGD:1588455]: online = THBS1, offline = None, type = ensembl query
[MGI:104978]: online = CYP7B1, offline = None, type = ensembl query
[Xenbase:XB-GENE-1013637]: online = ACACA, offline = None, type = ensembl query
[Xenbase:XB-GENE-5729343]: online = TMEM18, offline = None, type = ensembl query
[RGD:621760]: online = OAS1, offline = None, type = ensembl query
[Xenbase:XB-GENE-996165]: online = PLA2G2A, offline = None, type = ensembl query
[Xenbase:XB-GENE-943069]: online = ARV1, offline = None, type = ensembl query
[Xenbase:XB-GENE-1005373]: online = TM7SF2, offline = None, type = ensembl query
[Xenbase:XB-GENE-1000954]: online = VMP1, offline = None, type = ensembl query
[RGD:41249586]: online = CD36, offline = None, type = ensembl query
[RGD:1589580]: online = HSD3B1, offline = None, type = ensembl query
[RGD:1304902]: online = NLRC3, offline = None, type = ensembl query
[ZFIN:ZDB-GENE-050320-130]: online = BSCL2, offline = None, type = ensembl query
[Xenbase:XB-GENE-487039]: online = INSIG1, offline = None, type = ensembl query
[Xenbase:XB-GENE-485923]: online = HEY2, offline = None, type = ensembl query
[RGD:2325584]: online = MIR34A, offline = None, type = ensembl query
[Xenbase:XB-GENE-5729937]: online = PLD6, offline = None, type = ensembl query
[RGD:2325572]: online = MIR132, offline = None, type = ensembl query
[MGI:106675]: online = ADIPOQ, offline = None, type = ensembl query
[Xenbase:XB-GENE-6257510]: online = SPAG17, offline = None, type = ensembl query
[Xenbase:XB-GENE-953517]: online = PNPLA2, offline = None, type = ensembl query
[RGD:2325376]: online = MIR212, offline = None, type = ensembl query
[MGI:1932051]: online = KAT5, offline = None, type = ensembl query
[Xenbase:XB-GENE-949586]: online = OXSM, offline = None, type = ensembl query
[RGD:2325396]: online = MIR18A, offline = None, type = ensembl query
[MGI:1923469]: online = SPCS3, offline = None, type = ensembl query
[Xenbase:XB-GENE-480999]: online = HOXC8, offline = None, type = ensembl query
[MGI:99180]: online = ZFP36, offline = None, type = ensembl query
[MGI:95295]: online = EGR1, offline = None, type = ensembl query
[MGI:102784]: online = TGFB1I1, offline = None, type = ensembl query
[ZFIN:ZDB-GENE-041111-211]: online = WDFY2, offline = None, type = ensembl query
[Xenbase:XB-GENE-5890856]: online = TRARG1, offline = None, type = ensembl query
[MGI:2385254]: online = GYS2, offline = None, type = ensembl query
[Xenbase:XB-GENE-482462]: online = THBS2, offline = None, type = ensembl query
[Xenbase:XB-GENE-986275]: online = DLGAP2, offline = None, type = ensembl query
[RGD:1585482]: online = MEIS1, offline = None, type = ensembl query
[Xenbase:XB-GENE-984232]: online = ATG9A, offline = None, type = ensembl query
[MGI:1924226]: online = SPCS3, offline = None, type = ensembl query
[RGD:7489034]: online = MIR128-2, offline = None, type = ensembl query
[Xenbase:XB-GENE-1012566]: online = FERMT2, offline = None, type = ensembl query
[RGD:2325381]: online = MIR181C, offline = None, type = ensembl query
[MGI:97429]: online = OAS1, offline = None, type = ensembl query
[RGD:7489028]: online = MIR103A2, offline = None, type = ensembl query
[RGD:2325501]: online = MIR410, offline = None, type = ensembl query
[RGD:1311206]: online = GAS2L1, offline = None, type = ensembl query
[RGD:2325467]: online = MIR424, offline = None, type = ensembl query
[Xenbase:XB-GENE-993318]: online = RTKN2, offline = None, type = ensembl query
[Xenbase:XB-GENE-996958]: online = NRARP, offline = None, type = ensembl query
[RGD:2325364]: online = MIR497, offline = None, type = ensembl query
[RGD:1562961]: online = MBD5, offline = None, type = ensembl query
[Xenbase:XB-GENE-945026]: online = SERPINF1, offline = None, type = ensembl query
[Xenbase:XB-GENE-483183]: online = FLT4, offline = None, type = ensembl query
[Xenbase:XB-GENE-982642]: online = CLPS, offline = None, type = ensembl query
[Xenbase:XB-GENE-6039291]: online = HS6ST2, offline = None, type = ensembl query
[RGD:619805]: online = RRAGB, offline = None, type = ensembl query
[MGI:1923076]: online = SENP2, offline = None, type = ensembl query
[RGD:1593441]: online = OC90, offline = None, type = ensembl query
[RGD:1359266]: online = PMAIP1, offline = None, type = ensembl query
[MGI:88215]: online = BTG1, offline = None, type = ensembl query
[RGD:1560364]: online = VPS13C, offline = None, type = ensembl query
[RGD:2325462]: online = MIR19A, offline = None, type = ensembl query
[RGD:2015]: online = ACSL1, offline = None, type = ensembl query
[RGD:2321830]: online = HKDC1, offline = None, type = ensembl query
[MGI:96790]: online = LIPE, offline = None, type = ensembl query
[RGD:41279919]: online = APOL3, offline = None, type = ensembl query
[RGD:2325564]: online = MIR152, offline = None, type = ensembl query
[RGD:2325544]: online = MIR222, offline = None, type = ensembl query
[ZFIN:ZDB-GENE-040426-1063]: online = PTGES2, offline = None, type = ensembl query
[Xenbase:XB-GENE-1007077]: online = OLAH, offline = None, type = ensembl query
[RGD:2325578]: online = MIR107, offline = None, type = ensembl query
[Xenbase:XB-GENE-5726440]: online = C1QTNF12, offline = None, type = ensembl query
[MGI:97286]: online = NCL, offline = None, type = ensembl query
[RGD:1308676]: online = HSD3B1, offline = None, type = ensembl query
[Xenbase:XB-GENE-993664]: online = AMOTL1, offline = None, type = ensembl query
[RGD:1565028]: online = SUV39H1, offline = None, type = ensembl query
[Xenbase:XB-GENE-5858565]: online = TMEM120A, offline = None, type = ensembl query
[RGD:9685094]: online = MIRLET7G, offline = None, type = ensembl query
[RGD:2325590]: online = MIR30C1, offline = None, type = ensembl query
[MGI:98961]: online = WNT7A, offline = None, type = ensembl query
[ZFIN:ZDB-GENE-030131-4083]: online = RRAGA, offline = None, type = ensembl query
[Xenbase:XB-GENE-950748]: online = AGMO, offline = None, type = ensembl query
[RGD:1311644]: online = MOGAT1, offline = None, type = ensembl query
[RGD:1306863]: online = CD34, offline = None, type = ensembl query
[RGD:9685084]: online = MIR1-1, offline = None, type = ensembl query
[Xenbase:XB-GENE-985182]: online = LDAH, offline = None, type = ensembl query
[RGD:1310190]: online = SNX5, offline = None, type = ensembl query
[Xenbase:XB-GENE-959717]: online = NEU4, offline = None, type = ensembl query
[Xenbase:XB-GENE-853604]: online = VPS13B, offline = None, type = ensembl query
[RGD:1565496]: online = HACD3, offline = None, type = ensembl query
[RGD:2325566]: online = MIR143, offline = None, type = ensembl query
[Xenbase:XB-GENE-1002857]: online = HK2, offline = None, type = ensembl query
[RGD:2325408]: online = MIR33A, offline = None, type = ensembl query
[Xenbase:XB-GENE-985960]: online = MLYCD, offline = None, type = ensembl query
[Xenbase:XB-GENE-489279]: online = WWTR1, offline = None, type = ensembl query
[RGD:7488977]: online = MIR15B, offline = None, type = ensembl query
[Xenbase:XB-GENE-5776210]: online = PNLIPRP2, offline = None, type = ensembl query
[ZFIN:ZDB-GENE-050417-72]: online = ANXA1, offline = None, type = ensembl query
[RGD:1594658]: online = PLA2G4C, offline = None, type = ensembl query
[RGD:1589149]: online = GBA1, offline = None, type = ensembl query
[MGI:96542]: online = IL1A, offline = None, type = ensembl query
[RGD:619799]: online = VEGFB, offline = None, type = ensembl query
[Xenbase:XB-GENE-490143]: online = ATP8B1, offline = None, type = ensembl query
[MGI:96438]: online = IGFBP3, offline = None, type = ensembl query
[Xenbase:XB-GENE-1006398]: online = HACD3, offline = None, type = ensembl query
[UniProtKB:Q504Y0]: online = None, offline = SLC39A12; type = uniprot query
[RGD:2325405]: online = MIR301A, offline = None, type = ensembl query
[RGD:6494870]: online = ROBO4, offline = None, type = ensembl query
[MGI:98354]: online = SOS1, offline = None, type = ensembl query
[RGD:2325525]: online = MIR541, offline = None, type = ensembl query
[Xenbase:XB-GENE-1015653]: online = PLA2G12B, offline = None, type = ensembl query
[MGI:98506]: online = TCF4, offline = None, type = ensembl query
[MGI:101941]: online = E2F1, offline = None, type = ensembl query
[RGD:2325582]: online = MIR96, offline = None, type = ensembl query
[Xenbase:XB-GENE-1011748]: online = MTTP, offline = None, type = ensembl query
[MGI:87859]: online = ABL1, offline = None, type = ensembl query
[RGD:621752]: online = LNPEP, offline = None, type = ensembl query
[Xenbase:XB-GENE-5936679]: online = STARD5, offline = None, type = ensembl query
[MGI:87999]: online = ALOX5, offline = None, type = ensembl query
[RGD:11460844]: online = APOL3, offline = None, type = ensembl query
[MGI:107659]: online = IFNA1, offline = None, type = ensembl query
[UniProtKB:P15408]: online = None, offline = FOSL2; type = uniprot query
[MGI:107949]: online = RHOB, offline = None, type = ensembl query
[UniProtKB:Q9Y3Q8]: online = TSC22D4, offline = SPACDR; type = uniprot query
[Xenbase:XB-GENE-6033417]: online = FADS1, offline = None, type = ensembl query
[RGD:1561431]: online = HOXA3, offline = None, type = ensembl query
[Xenbase:XB-GENE-978184]: online = SYK, offline = None, type = ensembl query
[MGI:97568]: online = ABCB1, offline = None, type = ensembl query
[MGI:97619]: online = PRL, offline = None, type = ensembl query
[Xenbase:XB-GENE-22069111]: online = SDR42E2, offline = None, type = ensembl query
[RGD:631438]: online = MFSD4B, offline = None, type = ensembl query
[Xenbase:XB-GENE-6065172]: online = OSBP, offline = None, type = ensembl query
[MGI:96608]: online = ITGAV, offline = None, type = ensembl query
[RGD:1593096]: online = RBPJ, offline = None, type = ensembl query
[Xenbase:XB-GENE-966944]: online = HIF1AN, offline = None, type = ensembl query
[MGI:97569]: online = ABCB4, offline = None, type = ensembl query
[RGD:2325570]: online = MIR137, offline = None, type = ensembl query
[MGI:88055]: online = APOC3, offline = None, type = ensembl query
[RGD:2325456]: online = MIR129-1, offline = None, type = ensembl query
[MGI:99606]: online = ABCA2, offline = None, type = ensembl query
[Xenbase:XB-GENE-987246]: online = OSBPL6, offline = None, type = ensembl query
[Xenbase:XB-GENE-5932769]: online = NCAPG2, offline = None, type = ensembl query
[RGD:2325484]: online = MIR1224, offline = None, type = ensembl query
[Xenbase:XB-GENE-981992]: online = GCK, offline = None, type = ensembl query
[RGD:1307581]: online = BBS1, offline = None, type = ensembl query
[Xenbase:XB-GENE-6045060]: online = GRAMD1B, offline = None, type = ensembl query
[MGI:107801]: online = ATP5F1B, offline = None, type = ensembl query
[RGD:2325561]: online = MIR181B1, offline = None, type = ensembl query
[RGD:2325565]: online = MIR145, offline = None, type = ensembl query
[RGD:9685082]: online = MIR148A, offline = None, type = ensembl query
[Xenbase:XB-GENE-960130]: online = ACACB, offline = None, type = ensembl query
[MGI:104723]: online = FGF9, offline = None, type = ensembl query
[Xenbase:XB-GENE-945229]: online = HSD17B12, offline = None, type = ensembl query
[UniProtKB:O75815]: online = None, offline = BCAR3; type = uniprot query
[Xenbase:XB-GENE-480688]: online = NRP1, offline = None, type = ensembl query
[Xenbase:XB-GENE-5944296]: online = GRAMD1C, offline = None, type = ensembl query
[Xenbase:XB-GENE-489846]: online = MFSD4A, offline = None, type = ensembl query
[Xenbase:XB-GENE-481820]: online = LRP6, offline = None, type = ensembl query
[Xenbase:XB-GENE-1011639]: online = LIPG, offline = None, type = ensembl query
[Xenbase:XB-GENE-6086265]: online = MAFA, offline = None, type = ensembl query
[Xenbase:XB-GENE-479318]: online = NOTCH1, offline = None, type = ensembl query
[MGI:109406]: online = REG1B, offline = None, type = ensembl query
[RGD:1305869]: online = ASXL3, offline = None, type = ensembl query
[MGI:95794]: online = LRP2, offline = None, type = ensembl query
[RGD:1359537]: online = CLN3, offline = None, type = ensembl query
[RGD:1306480]: online = APOL3, offline = None, type = ensembl query
[Xenbase:XB-GENE-483108]: online = INSRR, offline = None, type = ensembl query
[Xenbase:XB-GENE-952346]: online = ELOVL5, offline = None, type = ensembl query
[RGD:1309317]: online = SLC2A6, offline = None, type = ensembl query
[MGI:1923737]: online = PPP1R3G, offline = None, type = ensembl query
[Xenbase:XB-GENE-484533]: online = VEGFC, offline = None, type = ensembl query
[Xenbase:XB-GENE-1005391]: online = VPS51, offline = None, type = ensembl query
[Xenbase:XB-GENE-6046948]: online = PNLIPRP2, offline = None, type = ensembl query
[RGD:2325601]: online = MIR10A, offline = None, type = ensembl query
[Xenbase:XB-GENE-971071]: online = NDUFAB1, offline = None, type = ensembl query
[RGD:11384727]: online = SMIM43, offline = None, type = ensembl query
[Xenbase:XB-GENE-5998608]: online = PLD2, offline = None, type = ensembl query
[RGD:628868]: online = ITGB3, offline = None, type = ensembl query
[RGD:2325418]: online = MIR196A1, offline = None, type = ensembl query
[MGI:96234]: online = HSD3B1, offline = None, type = ensembl query
[Xenbase:XB-GENE-485497]: online = IGFBP1, offline = None, type = ensembl query
[Xenbase:XB-GENE-6468167]: online = PLCL1, offline = None, type = ensembl query
[MGI:95766]: online = GNA11, offline = None, type = ensembl query
[MGI:87971]: online = AHI1, offline = None, type = ensembl query
[Xenbase:XB-GENE-961011]: online = CH25H, offline = None, type = ensembl query
[RGD:7488974]: online = MIR16-2, offline = None, type = ensembl query
[RGD:2325427]: online = MIR192, offline = None, type = ensembl query
[RGD:2325395]: online = MIR23A, offline = None, type = ensembl query
[RGD:15005250]: online = APOL3, offline = None, type = ensembl query
[Xenbase:XB-GENE-982496]: online = PLCG1, offline = None, type = ensembl query
[RGD:2325457]: online = MIR125B1, offline = None, type = ensembl query
[Xenbase:XB-GENE-992746]: online = PLBD2, offline = None, type = ensembl query
[MGI:97845]: online = RAC1, offline = None, type = ensembl query
[RGD:15005383]: online = LIPH, offline = None, type = ensembl query
[MGI:95832]: online = GRN, offline = None, type = ensembl query
[MGI:99478]: online = CCKAR, offline = None, type = ensembl query
[Xenbase:XB-GENE-944987]: online = PCCA, offline = None, type = ensembl query
[Xenbase:XB-GENE-956346]: online = ADGRB2, offline = None, type = ensembl query
[Xenbase:XB-GENE-962803]: online = IAH1, offline = None, type = ensembl query
[Xenbase:XB-GENE-5814316]: online = APOLD1, offline = None, type = ensembl query
[UniProtKB:Q7Z2X4]: online = None, offline = PID1; type = uniprot query
[Xenbase:XB-GENE-944850]: online = HK1, offline = None, type = ensembl query
[Xenbase:XB-GENE-942805]: online = ELOVL7, offline = None, type = ensembl query
[Xenbase:XB-GENE-1013054]: online = PLCD1, offline = None, type = ensembl query
[MGI:99511]: online = PTPN11, offline = None, type = ensembl query
[Xenbase:XB-GENE-995575]: online = HACD4, offline = None, type = ensembl query
[Xenbase:XB-GENE-1021689]: online = RFX3, offline = None, type = ensembl query
[Xenbase:XB-GENE-919890]: online = MNX1, offline = None, type = ensembl query
[RGD:1592771]: online = HSD3B1, offline = None, type = ensembl query
[Xenbase:XB-GENE-480875]: online = SIN3A, offline = None, type = ensembl query
[Xenbase:XB-GENE-5961068]: online = OSBPL8, offline = None, type = ensembl query
[Xenbase:XB-GENE-855484]: online = FAXDC2, offline = None, type = ensembl query
[Xenbase:XB-GENE-877321]: online = PLA2G1B, offline = None, type = ensembl query
[MGI:109375]: online = FUT1, offline = None, type = ensembl query
[Xenbase:XB-GENE-478922]: online = FOXF1, offline = None, type = ensembl query
[Xenbase:XB-GENE-480239]: online = IGF1, offline = None, type = ensembl query
